Dataset_id	MZML_file_name	Species	Project_id
PXD046651	Yeast_23.mzML	Yeast	12
PXD046651	Yeast_35.mzML	Yeast	12
PXD046651	Yeast_60.mzML	Yeast	12
PXD046651	Yeast_18.mzML	Yeast	12
PXD046651	Yeast_25.mzML	Yeast	12
PXD046651	Yeast_17.mzML	Yeast	12
PXD046651	Yeast_36.mzML	Yeast	12
PXD046651	Yeast_61.mzML	Yeast	12
PXD046651	Yeast_34.mzML	Yeast	12
PXD046651	Yeast_52.mzML	Yeast	12
PXD046651	Yeast_2.mzML	Yeast	12
PXD046651	Yeast_29.mzML	Yeast	12
PXD046651	Yeast_39.mzML	Yeast	12
PXD046651	Yeast_51.mzML	Yeast	12
PXD046651	Yeast_54.mzML	Yeast	12
PXD046651	Yeast_4.mzML	Yeast	12
PXD046651	Yeast_38.mzML	Yeast	12
PXD046651	Yeast_26.mzML	Yeast	12
PXD046651	Yeast_62.mzML	Yeast	12
PXD046651	Yeast_27.mzML	Yeast	12
PXD046651	Yeast_14.mzML	Yeast	12
PXD046651	Yeast_53.mzML	Yeast	12
PXD046651	Yeast_42.mzML	Yeast	12
PXD046651	Yeast_33.mzML	Yeast	12
PXD046651	Yeast_43.mzML	Yeast	12
PXD046651	Yeast_45.mzML	Yeast	12
PXD046651	Yeast_46.mzML	Yeast	12
PXD046651	Yeast_3.mzML	Yeast	12
PXD046651	Yeast_44.mzML	Yeast	12
PXD046651	Yeast_10.mzML	Yeast	12
PXD046651	Yeast_30.mzML	Yeast	12
PXD046651	Yeast_11.mzML	Yeast	12
PXD046651	Yeast_47.mzML	Yeast	12
PXD046651	Yeast_48.mzML	Yeast	12
PXD046651	Yeast_12.mzML	Yeast	12
PXD046651	Yeast_9.mzML	Yeast	12
PXD046651	Yeast_55.mzML	Yeast	12
PXD046651	Yeast_32.mzML	Yeast	12
PXD046651	Yeast_49.mzML	Yeast	12
PXD046651	Yeast_8.mzML	Yeast	12
PXD046651	Yeast_7.mzML	Yeast	12
PXD046651	Yeast_6.mzML	Yeast	12
PXD046651	Yeast_31.mzML	Yeast	12
PXD046651	Yeast_5.mzML	Yeast	12
PXD046651	Yeast_13.mzML	Yeast	12
PXD046651	Yeast_15.mzML	Yeast	12
PXD046651	Yeast_57.mzML	Yeast	12
PXD046651	Yeast_56.mzML	Yeast	12
PXD046651	Yeast_24.mzML	Yeast	12
IPX0005864000	data01_Haima_mem_F1.mzML	Mouse	26
IPX0005864000	data09_Haima_mem_F9.mzML	Mouse	26
IPX0005864000	data02_Haima_mem_F2.mzML	Mouse	26
IPX0005864000	data08_Haima_mem_F8.mzML	Mouse	26
