	activation	ion	terminus	loss	isotope	label	shift	count	coverage
109	ETD	x	C-term	-NH3	0	x-NH3	26.9632802	3018	0.42%
110	ETD	x	C-term	-NH3	1	x-NH3+1	27.9656302	3020	0.42%
111	ETD	x	C-term	none	-1	x-1	42.9874792	3553	0.50%
112	ETD	x	C-term	none	0	x	43.9898292	3653	0.51%
113	ETD	x	C-term	none	1	x+1	44.9921792	4321	0.61%
114	ETHCD	a	N-term	-H2O	-1	a-H2O-1	-47.0078293	2732	0.41%
115	ETHCD	a	N-term	-H2O	0	a-H2O	-46.0054793	2097	0.31%
116	ETHCD	a	N-term	-NH3	0	a-NH3	-45.0214636	2380	0.36%
117	ETHCD	a	N-term	-NH3	1	a-NH3+1	-44.0191136	2480	0.37%
118	ETHCD	a	N-term	none	-1	a-1	-28.9972646	2600	0.39%
119	ETHCD	a	N-term	none	0	a	-27.9949146	5279	0.79%
120	ETHCD	a	N-term	none	1	a+1	-26.9925646	9489	1.42%
121	ETHCD	b	N-term	-H2O	-1	b-H2O-1	-19.0129147	1979	0.30%
122	ETHCD	b	N-term	-H2O	0	b-H2O	-18.0105647	2787	0.42%
123	ETHCD	b	N-term	-NH3	0	b-NH3	-17.0265490	2513	0.38%
124	ETHCD	b	N-term	-NH3	1	b-NH3+1	-16.0241990	2717	0.41%
125	ETHCD	c	N-term	-H2O	-1	c-H2O-1	-1.9863656	2804	0.42%
126	ETHCD	b	N-term	none	-1	b-1	-1.0023500	4605	0.69%
127	ETHCD	b	N-term	none	0	b	0.0000000	11550	1.73%
128	ETHCD	b	N-term	none	1	b+1	1.0023500	9128	1.36%
129	ETHCD	c	N-term	none	-1	c-1	16.0241991	23602	3.53%
130	ETHCD	c	N-term	none	0	c	17.0265491	122840	18.35%
131	ETHCD	c	N-term	none	1	c+1	18.0288991	18261	2.73%
132	ETHCD	z	C-term	-H2O	-1	z-H2O-1	-17.0188991	2091	0.31%
133	ETHCD	z	C-term	-H2O	0	z-H2O	-16.0165491	2441	0.36%
134	ETHCD	z_dot	C-term	-H2O	0	z_dot-H2O	-16.0187241	3509	0.52%
135	ETHCD	z_dot	C-term	-NH3	0	z_dot-NH3	-15.0347084	4264	0.64%
136	ETHCD	z_dot	C-term	-NH3	1	z_dot-NH3+1	-14.0323584	5862	0.88%
137	ETHCD	y	C-term	-H2O	-1	y-H2O-1	-1.0023500	2752	0.41%
138	ETHCD	y	C-term	-H2O	0	y-H2O	0.0000000	4649	0.69%
139	ETHCD	z	C-term	none	0	z	1.9940156	15726	2.35%
140	ETHCD	z_dot	C-term	none	0	z_dot	1.9918406	72508	10.83%
141	ETHCD	z_dot	C-term	none	1	z_dot+1	2.9941906	35709	5.33%
142	ETHCD	y	C-term	none	-1	y-1	17.0082147	9201	1.37%
143	ETHCD	y	C-term	none	0	y	18.0105647	20370	3.04%
144	ETHCD	y	C-term	none	1	y+1	19.0129147	6747	1.01%
145	ETHCD	x	C-term	-H2O	-1	x-H2O-1	24.9769145	2077	0.31%
146	ETHCD	x	C-term	-H2O	0	x-H2O	25.9792645	2214	0.33%
147	ETHCD	x	C-term	-NH3	0	x-NH3	26.9632802	2792	0.42%
148	ETHCD	x	C-term	-NH3	1	x-NH3+1	27.9656302	3169	0.47%
149	ETHCD	x	C-term	none	-1	x-1	42.9874792	4299	0.64%
150	ETHCD	x	C-term	none	0	x	43.9898292	4735	0.71%
151	ETHCD	x	C-term	none	1	x+1	44.9921792	6312	0.94%
